"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 07- 22","1,726.46","1,718.61","1,739.28","1,712.93","","0.46%"
"2022- 07- 21","1,718.49","1,696.73","1,720.69","1,680.78","","1.30%"
"2022- 07- 20","1,696.43","1,711.30","1,714.94","1,692.53","","-0.86%"
"2022- 07- 19","1,711.07","1,709.27","1,718.64","1,704.96","","0.12%"
"2022- 07- 18","1,709.01","1,707.94","1,724.05","1,705.89","","0.13%"
"2022- 07- 15","1,706.78","1,709.81","1,716.92","1,698.82","","-0.16%"
"2022- 07- 14","1,709.45","1,735.70","1,736.94","1,697.48","","-1.49%"
"2022- 07- 13","1,735.23","1,726.17","1,745.54","1,707.38","","0.55%"
"2022- 07- 12","1,725.81","1,733.99","1,743.49","1,722.93","","-0.45%"
"2022- 07- 11","1,733.67","1,742.86","1,744.92","1,731.01","","-0.47%"
"2022- 07- 08","1,741.82","1,740.05","1,752.50","1,733.24","","0.13%"
"2022- 07- 07","1,739.61","1,738.93","1,749.14","1,735.95","","0.08%"
"2022- 07- 06","1,738.30","1,764.87","1,773.06","1,731.75","","-1.48%"
"2022- 07- 05","1,764.35","1,808.74","1,812.42","1,763.48","","-2.47%"
"2022- 07- 04","1,809.12","1,812.27","1,814.36","1,803.45","","-0.06%"
"2022- 07- 01","1,810.18","1,807.31","1,812.09","1,784.10","","0.18%"
"2022- 06- 30","1,806.89","1,817.80","1,825.90","1,802.20","","-0.56%"
"2022- 06- 29","1,817.11","1,819.95","1,833.24","1,812.10","","-0.14%"
"2022- 06- 28","1,819.69","1,822.85","1,830.09","1,818.20","","-0.17%"
"2022- 06- 27","1,822.73","1,838.15","1,841.34","1,820.40","","-0.19%"
"2022- 06- 24","1,826.18","1,822.88","1,832.15","1,816.70","","0.21%"
"2022- 06- 23","1,822.43","1,837.87","1,846.19","1,821.88","","-0.81%"
"2022- 06- 22","1,837.39","1,832.96","1,848.44","1,823.23","","0.26%"
"2022- 06- 21","1,832.56","1,838.37","1,844.15","1,828.29","","-0.31%"
"2022- 06- 20","1,838.29","1,840.40","1,846.42","1,834.49","","-0.06%"
"2022- 06- 17","1,839.35","1,857.34","1,858.29","1,833.72","","-0.93%"
"2022- 06- 16","1,856.71","1,833.99","1,857.91","1,815.95","","1.27%"
"2022- 06- 15","1,833.38","1,808.35","1,841.74","1,807.24","","1.40%"
"2022- 06- 14","1,808.10","1,819.10","1,832.19","1,804.65","","-0.59%"
"2022- 06- 13","1,818.77","1,875.80","1,877.38","1,818.90","","-2.79%"
"2022- 06- 10","1,870.96","1,848.09","1,876.47","1,825.02","","1.26%"
"2022- 06- 09","1,847.61","1,853.53","1,855.52","1,839.60","","-0.30%"
"2022- 06- 08","1,853.26","1,852.51","1,859.90","1,844.35","","0.07%"
"2022- 06- 07","1,851.97","1,841.60","1,855.86","1,836.73","","0.60%"
"2022- 06- 06","1,841.00","1,850.29","1,858.15","1,840.50","","-0.53%"
"2022- 06- 03","1,850.77","1,868.53","1,874.30","1,847.02","","-0.93%"
"2022- 06- 02","1,868.13","1,846.44","1,870.69","1,843.76","","1.22%"
"2022- 06- 01","1,845.55","1,837.37","1,850.40","1,828.28","","0.46%"
"2022- 05- 31","1,837.09","1,856.40","1,857.69","1,834.90","","-1.03%"
"2022- 05- 30","1,856.21","1,852.19","1,864.34","1,847.92","","0.19%"
"2022- 05- 27","1,852.73","1,850.48","1,862.30","1,847.76","","0.15%"
"2022- 05- 26","1,850.02","1,853.48","1,854.71","1,841.14","","-0.15%"
"2022- 05- 25","1,852.83","1,865.09","1,868.40","1,842.94","","-0.70%"
"2022- 05- 24","1,865.90","1,853.59","1,869.99","1,849.06","","0.68%"
"2022- 05- 23","1,853.22","1,846.53","1,865.65","1,844.08","","0.41%"
"2022- 05- 20","1,845.68","1,842.12","1,849.59","1,832.35","","0.22%"
"2022- 05- 19","1,841.72","1,816.60","1,849.46","1,810.55","","1.44%"
"2022- 05- 18","1,815.61","1,815.20","1,825.02","1,807.30","","0.05%"
"2022- 05- 17","1,814.67","1,824.18","1,836.55","1,812.68","","-0.50%"
"2022- 05- 16","1,823.79","1,811.05","1,827.23","1,786.95","","0.70%"
"2022- 05- 13","1,811.15","1,822.48","1,829.06","1,799.24","","-0.58%"
"2022- 05- 12","1,821.72","1,852.58","1,859.30","1,820.93","","-1.64%"
"2022- 05- 11","1,852.12","1,838.41","1,857.99","1,831.83","","0.76%"
"2022- 05- 10","1,838.14","1,853.74","1,865.76","1,835.46","","-0.85%"
"2022- 05- 09","1,853.92","1,883.80","1,885.95","1,851.36","","-1.54%"
"2022- 05- 06","1,882.96","1,877.30","1,892.93","1,865.84","","0.33%"
"2022- 05- 05","1,876.84","1,881.47","1,910.03","1,872.48","","-0.22%"
"2022- 05- 04","1,880.92","1,868.04","1,889.74","1,861.17","","0.70%"
"2022- 05- 03","1,867.79","1,863.05","1,878.19","1,850.33","","0.27%"
"2022- 05- 02","1,862.77","1,896.09","1,900.10","1,854.74","","-1.77%"
"2022- 04- 29","1,896.40","1,894.43","1,919.97","1,892.25","","0.11%"
"2022- 04- 28","1,894.34","1,886.14","1,897.32","1,872.19","","0.44%"
"2022- 04- 27","1,886.12","1,905.45","1,907.25","1,881.39","","-1.02%"
